Date,Product_Category,Price,Discount,Customer_Segment,Marketing_Spend,Units_Sold
01-01-2023,Sports,932.8,35.82,Occasional,6780.38,32
02-01-2023,Toys,569.48,3.6,Premium,6807.56,16
03-01-2023,Home Decor,699.68,3.56,Premium,3793.91,27
04-01-2023,Toys,923.27,0.61,Premium,9422.75,29
05-01-2023,Toys,710.17,47.83,Premium,1756.83,17
06-01-2023,Fashion,161.01,36.88,Premium,5053.56,27
07-01-2023,Home Decor,580.53,17.66,Occasional,6939.75,30
08-01-2023,Home Decor,610.65,14.83,Regular,7001.64,27
09-01-2023,Home Decor,429.89,17.49,Occasional,6521.53,32
10-01-2023,Toys,739.08,38.73,Regular,2825.35,28
11-01-2023,Sports,935.02,33.07,Premium,1646.45,26
12-01-2023,Home Decor,926.31,9.26,Regular,6395.81,26
13-01-2023,Toys,456.33,8.71,Occasional,6033.09,37
14-01-2023,Fashion,122.11,4.92,Occasional,1875.62,28
15-01-2023,Sports,984.99,33.02,Regular,7080.88,27
16-01-2023,Fashion,840.51,38.22,Premium,4606.2,32
17-01-2023,Sports,133.42,13.25,Premium,6710.83,20
18-01-2023,Toys,921.63,1.05,Occasional,8389.93,35
19-01-2023,Electronics,871.2,4.11,Regular,1780.31,23
20-01-2023,Sports,523.65,48.39,Premium,289.53,17
